name,name character_deaths,name character_predictions,allegiances,nobility,gender,has_Allegiance,is_alive,has_dead_rels,culture,mother,father,spouse,house,heir,data_poor
Erreg,,Erreg,Unknown,0,1,0,1,0,Andals,Unknown,Unknown,Unknown,Unknown,Unknown,1
Hugor of the Hill,,Hugor of the Hill,Unknown,0,1,0,1,0,Andals,Unknown,Unknown,Unknown,Unknown,Unknown,1
Melisandre,Melisandre,Melisandre,House Baratheon,0,0,1,1,0,Asshai,Unknown,Unknown,Unknown,R'hllor,Unknown,0
Quaithe,Quaithe,Quaithe,None,1,0,0,1,0,Asshai,Unknown,Unknown,Unknown,Unknown,Unknown,0
Cleon,,Cleon,Unknown,0,1,0,0,0,Astapori,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ghael,Ghael,Ghael,None,0,1,0,1,0,Astapori,Unknown,Unknown,Unknown,Unknown,Unknown,0
Grazdan,Grazdan,Grazdan,None,1,1,0,0,0,Astapori,Unknown,Unknown,Unknown,Unknown,Unknown,0
Grazdan mo Ullhor,Grazdan mo Ullhor,Grazdan mo Ullhor,None,1,1,0,0,0,Astapori,Unknown,Unknown,Unknown,Good Masters,Unknown,0
Kraznys mo Nakloz,Kraznys mo Nakloz,Kraznys mo Nakloz,None,1,1,0,0,0,Astapori,Unknown,Unknown,Unknown,Good Masters,Unknown,0
Alia,Alia of Braavos,Alia,None,0,0,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,0
Bellegere Otherys,,Bellegere Otherys,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Bellonara Otherys,Bellonara Otherys,Bellonara Otherys,None,1,0,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,0
Beqqo,,Beqqo,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Bethany (Blushing Bethany),,Bethany (Blushing Bethany),Unknown,0,0,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Brea,,Brea,Unknown,0,0,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Brusco,Brusco,Brusco,None,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,0
Canker Jeyne,,Canker Jeyne,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Cossomo,,Cossomo,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Daughter of the Dusk,,Daughter of the Dusk,Unknown,0,0,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Denyo Terys,,Denyo Terys,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ezzelyno,,Ezzelyno,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,R'hllor,Unknown,1
Ferrego Antaryon,,Ferrego Antaryon,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Gyleno Dothare,,Gyleno Dothare,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Gyloro Dothare,,Gyloro Dothare,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Joss the Gloom,,Joss the Gloom,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Lanna (Happy Port),Lanna (Happy Port),Lanna (Happy Port),None,0,0,0,1,0,Braavosi,Unknown,Unknown,Unknown,Happy Port,Unknown,0
Lotho Lornel,,Lotho Lornel,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Luco Prestayn,Luco Prestayn,Luco Prestayn,None,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,0
Meralyn,,Meralyn,Unknown,0,0,0,1,0,Braavosi,Unknown,Unknown,Unknown,Happy Port,Unknown,1
Merling Queen,,Merling Queen,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Mero,Mero,Mero,None,0,1,0,0,0,Braavosi,Unknown,Unknown,Unknown,Second Sons,Unknown,0
Moonshadow,,Moonshadow,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Moredo Prestayn,,Moredo Prestayn,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Narbo,,Narbo,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Noho Dimittis,,Noho Dimittis,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Iron Bank of Braavos,Unknown,1
Orbelo,,Orbelo,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Oro Tendyris,,Oro Tendyris,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Poetess,,Poetess,Unknown,0,0,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Qarro Volentin,,Qarro Volentin,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Quence,,Quence,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Quill,,Quill,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Roggo,,Roggo,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
S'vrone,,S'vrone,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Sloey,,Sloey,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Syrio Forel,Syrio Forel,Syrio Forel,House Stark,0,1,1,0,0,Braavosi,Unknown,Unknown,Unknown,House Stark,Unknown,0
Tagganaro,,Tagganaro,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Talea,,Talea,Unknown,0,0,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ternesio Terys,Ternesio Terys,Ternesio Terys,None,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,0
Terro,,Terro,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Tycho Nestoris,Tycho Nestoris,Tycho Nestoris,None,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Iron Bank of Braavos,Unknown,0
Veiled Lady,,Veiled Lady,Unknown,0,0,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Yorko Terys,,Yorko Terys,Unknown,0,1,0,1,0,Braavosi,Unknown,Unknown,Unknown,Unknown,Unknown,1
Howland Reed,,Howland Reed,Unknown,1,1,0,1,0,Crannogmen,Unknown,Unknown,Jyana,House Reed,Unknown,1
Jojen Reed,Jojen Reed,Jojen Reed,House Stark,1,1,1,1,0,Crannogmen,Unknown,Unknown,Unknown,House Reed,Unknown,0
Jyana,,Jyana,Unknown,1,0,0,1,0,Crannogmen,Unknown,Unknown,Howland Reed,House Reed,Unknown,1
Meera Reed,Meera Reed,Meera Reed,House Stark,1,0,1,1,0,Crannogmen,Unknown,Unknown,Unknown,House Reed,Unknown,0
Andrey Dalt,Andrey Dalt,Andrey Dalt,House Martell,1,1,1,1,0,Dornish,Unknown,Unknown,Unknown,House Dalt,Unknown,0
Arianne Martell,Arianne Martell,Arianne Martell,House Martell,1,0,1,1,0,Dornish,Unknown,Unknown,Unknown,House Martell,Unknown,0
Aron Santagar,Aron Santagar,Aron Santagar,House Lannister,1,1,1,0,0,Dornish,Unknown,Unknown,Unknown,House Santagar,Unknown,0
Arthur Dayne,,Arthur Dayne,Unknown,1,1,0,0,0,Dornish,Unknown,Unknown,Unknown,House Dayne,Unknown,1
Cassella Vaith,,Cassella Vaith,Unknown,1,0,0,1,0,Dornish,Unknown,Unknown,Unknown,House Vaith,Unknown,1
Daemon Sand,Daemon Sand,Daemon Sand,House Martell,0,1,1,1,0,Dornish,Unknown,Unknown,Unknown,House Allyrion,Unknown,0
Daeron Vaith,,Daeron Vaith,Unknown,1,1,0,1,0,Dornish,Unknown,Unknown,Unknown,House Vaith,Unknown,1
Delonne Allyrion,,Delonne Allyrion,Unknown,1,0,0,1,0,Dornish,Unknown,Unknown,Unknown,House Allyrion,Unknown,1
Doran Martell,Doran Martell,Doran Martell,House Martell,1,1,1,1,1,Dornish,Unknown,Unknown,Mellario of Norvos,House Nymeros Martell,Unknown,0
Dorea Sand,,Dorea Sand,Unknown,1,0,0,1,1,Dornish,Unknown,Unknown,Unknown,House Martell,Unknown,1
Edric Dayne,Edric Dayne,Edric Dayne,None,1,1,0,1,0,Dornish,Unknown,Unknown,Unknown,House Dayne,Unknown,0
Elia Sand,,Elia Sand,Unknown,1,0,0,1,1,Dornish,Unknown,Unknown,Unknown,House Martell,Unknown,1
Ellaria Sand,Ellaria Sand,Ellaria Sand,House Martell,1,0,1,1,1,Dornish,Unknown,Unknown,Oberyn Martell,House Uller,Unknown,0
Franklyn Fowler,,Franklyn Fowler,Unknown,1,1,0,1,0,Dornish,Unknown,Unknown,Unknown,House Fowler,Unknown,1
Gerold Dayne,Gerold Dayne,Gerold Dayne,House Martell,1,1,1,1,0,Dornish,Unknown,Unknown,Unknown,House Dayne of High Hermitage,Unknown,0
Gerris Drinkwater,Gerris Drinkwater,Gerris Drinkwater,House Martell,1,1,1,1,0,Dornish,Unknown,Unknown,Unknown,House Drinkwater,Unknown,0
Jynessa Blackmont,Jynessa Blackmont,Jynessa Blackmont,House Martell,1,0,1,1,0,Dornish,Unknown,Unknown,Unknown,House Blackmont,Unknown,0
Larra Blackmont,Larra Blackmont,Larra Blackmont,House Martell,1,0,1,1,0,Dornish,Unknown,Unknown,Unknown,House Blackmont,Unknown,0
Lewyn Martell,,Lewyn Martell,Unknown,1,1,0,0,1,Dornish,Unknown,Unknown,Unknown,House Martell,Unknown,1
Loreza Sand,,Loreza Sand,Unknown,1,0,0,1,1,Dornish,Unknown,Unknown,Unknown,House Martell,Unknown,1
Manfrey Martell,,Manfrey Martell,Unknown,1,1,0,1,0,Dornish,Unknown,Unknown,Unknown,House Martell,Unknown,1
Maron Martell,,Maron Martell,Unknown,1,1,0,1,1,Dornish,Unknown,Unknown,Daenerys Targaryen,House Martell,Unknown,1
